ลำดับ,เพศ,จังหวัดที่อาศัย,โรงเรียน,สำเร็จการศึกษาจาก,จังหวัด,เกรดเฉลี่ยสะสม,รายได้ครอบครัว,หลักสูตรที่เข้าศึกษา,ปัจจัยสถาบันการศึกษา1,ปัจจัยสถาบันการศึกษา2,ปัจจัยสถาบันการศึกษา3,ปัจจัยสถาบันการศึกษา4,ปัจจัยสถาบันการศึกษา5,ปัจจัยสถาบันการศึกษา6,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร1,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร2,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร3,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร4,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร5,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร6,ปัจจัยในการตัดสินใจ1,ปัจจัยในการตัดสินใจ2,ปัจจัยในการตัดสินใจ3,ปัจจัยในการตัดสินใจ4,ปัจจัยด้านเหตุผลส่วนตัว1,ปัจจัยด้านเหตุผลส่วนตัว2,ปัจจัยด้านเหตุผลส่วนตัว3,ปัจจัยด้านเหตุผลส่วนตัว4,ปัจจัยด้านเหตุผลส่วนตัว5,ปัจจัยด้านสื่อและการประชาสัมพันธ์1,ปัจจัยด้านสื่อและการประชาสัมพันธ์2,ปัจจัยด้านสื่อและการประชาสัมพันธ์3,ปัจจัยด้านสื่อและการประชาสัมพันธ์4,ปัจจัยด้านสื่อและการประชาสัมพันธ์5,จัดการเรียนการสอนที่ศูนย์แม่ริม,ความคาดหวังที่นักศึกษาคิดว่าจะได้รับ,ข้อเสนอแนะ
52,ช,แพร่,สถาบันอาชีวศึกษา,วิทยาลัยอาชีวศึกษาแพร่,แพร่,,"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,3,4,3,3,3,4,4,3,3,4,4,4,3,4,3,3,3,4,4,3,3,3,3,3,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
53,ช,เชียงราย,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคเชียงใหม่,เชียงใหม่,2.97,"20,001-30,000 ",เทคโนโลยีสถาปัตยกรรม,4,4,5,3,4,4,4,5,4,4,4,5,5,4,4,4,4,4,4,4,4,5,5,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
54,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,แม่ริมวิทยาคม,เชียงใหม่,3.27,"20,001-30,000 ",เทคโนโลยีสถาปัตยกรรม,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. ทักษะ                                                  2. ความรู้                                                  3. ความสามารถ                                        4. เพื่อน                                                  5. งาน                                                     6. อิสระ,
55,ช,เชียงราย,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคเชียงราย,เชียงราย,2.41,"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,4,4,4,4,4,5,4,4,3,3,4,4,5,5,3,4,3,1,1,1,3,3,3,3,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
56,ช,ชลบุรี,มัธยมศึกษาของรัฐ,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์,ระยอง,2.14,"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,4,4,5,5,5,5,5,5,4,5,5,5,2,4,3,2,1,1,3,3,5,4,3,3,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ได้ความรู้ใหม่
2. ได้รู้จักผู้คนมากขึ้น",
57,ช,เชียงราย,มัธยมศึกษาของรัฐ,บุญเรืองวิทยาคม,เชียงราย,2.49,"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,5,5,1,5,1,5,4,4,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
58,ช,ศรีสะเกษ,มัธยมศึกษาของรัฐ,กันทรลักษณ์วิทยา,ศรีสะเกษ,3.42,"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,5,3,5,1,5,5,4,4,3,4,5,5,5,4,4,3,1,1,1,1,5,4,3,3,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
59,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,หอพระ,เชียงใหม่,2.71,"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,4,3,5,3,5,3,4,3,5,3,5,4,3,4,4,3,3,3,3,3,4,4,3,4,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
60,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,หอพระ,เชียงใหม่,2.45,"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,3,3,4,4,3,4,3,3,3,3,3,3,3,1,1,1,5,1,3,3,2,3,3,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
61,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,หอพระ,เชียงใหม่,2.14,"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,3,3,4,4,3,4,3,3,3,3,3,3,3,1,1,1,5,1,3,3,2,3,3,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
62,ช,ลำพูน,มัธยมศึกษาของรัฐ,ส่วนบุญโญปถัมภ์,ลำพูน,2.88,"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,3,5,5,4,5,5,3,3,4,3,3,4,5,5,4,5,5,5,5,2,3,3,2,2,2,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ได้การเรียนที่ดีและไม่มีผลการเรียนแย่
2. การบริการที่ดีของธุรการ",
63,ญ,ลำพูน,มัธยมศึกษาของรัฐ,ส่วนบุญโญปถัมภ์,ลำพูน,3.69,"20,001-30,000 ",อาชีวอนามัยและความปลอดภัย,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,3,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. เรียนจบแล้วมีงานพร้อมรับรอง,
64,ช,ลำพูน,มัธยมศึกษาของรัฐ,ส่วนบุญโญปถัมภ์,ลำพูน,3.02,"10,001-20,000",อาชีวอนามัยและความปลอดภัย,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
65,ญ,,มัธยมศึกษาของเอกชน,สารสาสน์วิเทศบางบัวทอง,นนทบุรี,2.78,"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
66,ช,เชียงใหม่,มัธยมศึกษาของเอกชน,ดาราวิทยาลัย,เชียงใหม่,,"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,4,4,3,4,3,3,4,3,3,4,5,4,3,1,2,4,4,2,1,1,3,3,4,4,4,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
67,ญ,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีโปลิเทคนิคลานนา,เชียงใหม่,3.93,"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,5,4,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. จะพัฒนาคุณภาพนักศึกษาให้ดีขึ้น
2. พัฒนาทักษะในการเรียน",
68,ญ,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีโปลิเทคนิคลานนา,เชียงใหม่,3.88,"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,4,4,5,5,5,4,3,3,4,3,4,5,5,4,5,5,5,5,5,4,4,4,4,4,4,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. สร้างคนดี
2. สร้างทักษะการเรียน                                  3. สร้างคุณภาพชีวิตของนักศึกษาให้ดีขึ้น",
69,ช,แพร่,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคแพร่,แพร่,2.70,"20,001-30,000 ",เทคโนโลยีสถาปัตยกรรม,4,3,4,2,3,3,3,4,3,3,4,3,3,3,3,4,4,3,4,3,4,5,4,3,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
70,ญ,แพร่,มัธยมศึกษาของรัฐ,นารีรัตน์,แพร่,2.92,"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,3,3,3,1,3,4,4,4,3,3,3,3,3,3,5,4,3,1,2,2,,3,3,3,3,4,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก การเดินทางลำบาก,"1. สามารถหางานง่าย
2. สามารถได้ความรู้เกี่ยวกับคณะและสถานที่เรียน",
71,ช,เชียงราย,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยี ไทย-เอเชีย,เชียงราย,3.01,"30,001 ขึ้นไป",เทคโนโลยีสถาปัตยกรรม,5,5,4,3,3,4,5,4,3,4,4,3,4,5,3,3,5,5,5,4,3,4,3,4,4,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. นำความรู้สามารถไปทำงาน
2. มีความรู้ที่ใช้ได้จริง",
72,ช,เชียงใหม่,มัธยมศึกษาของเอกชน,ดาราวิทยาลัย,เชียงใหม่,2.97,"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,4,3,5,5,4,5,4,5,5,4,5,5,4,3,5,3,5,3,4,3,5,4,4,5,4,5,,,
73,ญ,ลำพูน,มัธยมศึกษาของรัฐ,ทุ่งหัวช้างพิทยาคม,ลำพูน,3.75,"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),3,3,4,1,3,4,4,4,3,3,4,4,3,2,3,1,3,3,2,2,2,2,2,2,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
